(A1) 2012-01-27 00:07:54,927 [main] INFO  org.hibernate.cfg.annotations.Version - Hibernate Annotations 3.4.0.GA
(A1) 2012-01-27 00:07:55,123 [main] INFO  org.hibernate.cfg.Environment - Hibernate 3.3.1.GA
(A1) 2012-01-27 00:07:55,168 [main] INFO  org.hibernate.cfg.Environment - hibernate.properties not found
(A1) 2012-01-27 00:07:55,205 [main] INFO  org.hibernate.cfg.Environment - Bytecode provider name : javassist
(A1) 2012-01-27 00:07:55,246 [main] INFO  org.hibernate.cfg.Environment - using JDK 1.4 java.sql.Timestamp handling
(A1) 2012-01-27 00:07:55,469 [main] INFO  org.hibernate.annotations.common.Version - Hibernate Commons Annotations 3.1.0.GA
(A1) 2012-01-27 00:07:55,496 [main] INFO  org.hibernate.ejb.Version - Hibernate EntityManager 3.4.0.GA
(A1) 2012-01-27 00:07:55,554 [main] DEBUG org.hibernate.ejb.Ejb3Configuration - Look up for persistence unit: OpenERP_ACHIZITII
(A1) 2012-01-27 00:07:55,815 [main] DEBUG org.hibernate.util.DTDEntityResolver - trying to resolve system-id [http://java.sun.com/xml/ns/persistence/persistence_2_0.xsd]
(A1) 2012-01-27 00:07:57,467 [main] DEBUG org.hibernate.util.DTDEntityResolver - trying to resolve system-id [http://java.sun.com/xml/ns/persistence/persistence_2_0.xsd]
(A1) 2012-01-27 00:07:57,943 [main] DEBUG org.hibernate.util.DTDEntityResolver - trying to resolve system-id [http://java.sun.com/xml/ns/persistence/persistence_2_0.xsd]
